publishedAt,neg,neu,pos,compound
2019-03-26 18:12:10,0.0,0.932,0.068,0.4404
2019-03-26 18:25:00,0.0,1.0,0.0,0.0
2019-03-26 18:34:08,0.073,0.831,0.096,-0.0258
2019-03-26 19:05:00,0.0,1.0,0.0,0.0
2019-03-26 19:26:41,0.0,1.0,0.0,0.0
2019-03-26 19:34:00,0.0,0.837,0.163,0.6808
2019-03-26 20:38:31,0.0,1.0,0.0,0.0
2019-03-26 20:52:55,0.226,0.774,0.0,-0.8689
2019-03-26 20:54:37,0.0,1.0,0.0,0.0
2019-03-26 21:00:10,0.046,0.852,0.102,0.4019
2019-03-26 21:08:31,0.0,0.941,0.059,0.3182
2019-03-26 21:08:31,0.072,0.775,0.152,0.296
2019-03-26 21:08:31,0.072,0.775,0.152,0.296
2019-03-26 21:20:00,0.065,0.935,0.0,-0.4215
2019-03-26 21:29:30,0.0,1.0,0.0,0.0
2019-03-26 22:06:00,0.0,0.805,0.195,0.8658
2019-03-26 22:28:42,0.06,0.891,0.049,-0.1151
2019-03-26 22:49:09,0.0,0.877,0.123,0.743
2019-03-26 22:54:14,0.063,0.86,0.078,-0.0754
2019-03-27 00:05:46,0.0,0.825,0.175,0.7717
2019-03-27 01:37:00,0.0,0.823,0.177,0.8316
2019-03-27 01:37:00,0.0,0.827,0.173,0.8316
2019-03-27 05:17:38,0.0,1.0,0.0,0.0
2019-03-27 06:26:47,0.0,1.0,0.0,0.0
2019-03-27 09:38:13,0.0,0.843,0.157,0.6369
2019-03-27 09:59:32,0.0,1.0,0.0,0.0
2019-03-27 10:00:11,0.0,0.835,0.165,0.7845
2019-03-27 10:46:36,0.0,0.877,0.123,0.7096
2019-03-27 11:14:00,0.191,0.809,0.0,-0.8316
2019-03-27 11:14:37,0.062,0.879,0.059,-0.0258
2019-03-27 12:00:49,0.036,0.827,0.137,0.5927
2019-03-27 12:11:13,0.0,0.761,0.239,0.8658
2019-03-27 12:46:12,0.0,0.901,0.099,0.5574
2019-03-27 13:00:21,0.0,0.907,0.093,0.5574
2019-03-27 13:00:55,0.117,0.786,0.096,-0.2648
2019-03-27 14:13:00,0.053,0.947,0.0,-0.25
2019-03-27 14:17:34,0.0,0.951,0.049,0.2732
2019-03-27 14:51:31,0.0,0.707,0.293,0.9231
2019-03-27 15:20:00,0.0,0.932,0.068,0.4404
2019-03-27 15:20:00,0.0,0.876,0.124,0.7003
2019-03-27 15:20:28,0.062,0.938,0.0,-0.4019
2019-03-27 15:22:23,0.0,0.936,0.064,0.34
2019-03-27 15:53:16,0.106,0.851,0.044,-0.4588
2019-03-27 16:26:38,0.049,0.845,0.106,0.4374
2019-03-27 16:26:38,0.049,0.845,0.106,0.4374
2019-03-27 16:54:04,0.046,0.954,0.0,-0.2263
2019-03-27 17:00:15,0.059,0.826,0.115,0.5574
2019-03-27 17:00:55,0.0,0.943,0.057,0.4215
2019-03-27 17:12:50,0.0,0.938,0.062,0.4404
2019-03-27 17:50:13,0.0,1.0,0.0,0.0
2019-03-27 17:53:08,0.0,1.0,0.0,0.0
2019-03-27 18:33:00,0.0,0.855,0.145,0.6808
2019-03-27 18:49:18,0.0,0.795,0.205,0.831
2019-03-27 20:11:27,0.122,0.878,0.0,-0.6486
2019-03-27 20:44:00,0.0,0.833,0.167,0.8126
2019-03-27 21:11:27,0.064,0.815,0.12,0.4497
2019-03-27 21:30:00,0.034,0.919,0.047,0.1531
2019-03-27 21:30:00,0.034,0.919,0.047,0.1531
2019-03-27 21:30:00,0.034,0.919,0.047,0.1531
2019-03-27 21:30:00,0.087,0.827,0.087,0.0
2019-03-27 21:45:09,0.185,0.815,0.0,-0.7964
2019-03-27 21:57:00,0.061,0.855,0.085,0.016
2019-03-27 22:34:00,0.0,0.858,0.142,0.7964
2019-03-27 23:16:11,0.049,0.825,0.126,0.4404
2019-03-28 01:26:03,0.0,1.0,0.0,0.0
2019-03-28 06:38:08,0.0,0.826,0.174,0.802
2019-03-28 09:00:34,0.0,1.0,0.0,0.0
2019-03-28 09:19:20,0.134,0.811,0.055,-0.4939
2019-03-28 09:27:15,0.058,0.847,0.095,0.204
2019-03-28 09:38:22,0.097,0.819,0.084,-0.1531
2019-03-28 09:55:17,0.108,0.743,0.149,0.0752
2019-03-28 10:45:00,0.0,0.905,0.095,0.4588
2019-03-28 10:54:50,0.0,0.944,0.056,0.3182
2019-03-28 11:00:00,0.047,0.817,0.136,0.5574
2019-03-28 11:27:11,0.122,0.78,0.098,-0.3182
2019-03-28 12:00:00,0.0,0.741,0.259,0.891
2019-03-28 12:14:24,0.0,1.0,0.0,0.0
2019-03-28 12:24:12,0.0,0.941,0.059,0.3182
2019-03-28 12:25:12,0.0,0.868,0.132,0.6908
2019-03-28 12:36:00,0.045,0.955,0.0,-0.2732
2019-03-28 12:44:59,0.043,0.931,0.026,-0.1779
2019-03-28 13:37:01,0.068,0.835,0.097,0.0772
2019-03-28 13:50:01,0.0,1.0,0.0,0.0
2019-03-28 13:54:01,0.0,0.931,0.069,0.4215
2019-03-28 13:54:01,0.0,0.801,0.199,0.802
2019-03-28 13:59:01,0.062,0.802,0.136,0.3818
2019-03-28 14:02:02,0.0,1.0,0.0,0.0
2019-03-28 14:09:02,0.0,0.818,0.182,0.7783
2019-03-28 14:23:22,0.036,0.964,0.0,-0.1027
2019-03-28 14:26:38,0.041,0.871,0.088,0.3134
2019-03-28 15:09:17,0.0,1.0,0.0,0.0
2019-03-28 15:26:03,0.0,0.797,0.203,0.8126
2019-03-28 15:35:42,0.0,1.0,0.0,0.0
2019-03-28 16:04:17,0.053,0.811,0.136,0.5859
2019-03-28 16:07:58,0.136,0.842,0.023,-0.6705
2019-03-28 16:08:12,0.0,1.0,0.0,0.0
2019-03-28 16:11:38,0.042,0.901,0.058,0.1779
2019-03-28 16:11:38,0.043,0.898,0.059,0.1779
2019-03-28 16:18:41,0.043,0.898,0.059,0.1779
2019-03-28 16:24:47,0.109,0.783,0.109,0.0
2019-03-28 16:56:49,0.108,0.841,0.052,-0.3818
2019-03-28 16:56:49,0.108,0.841,0.052,-0.3818
2019-03-28 17:11:16,0.0,1.0,0.0,0.0
2019-03-28 18:05:02,0.163,0.768,0.069,-0.6124
2019-03-28 18:34:59,0.0,0.811,0.189,0.8201
2019-03-28 18:44:00,0.0,0.876,0.124,0.6705
2019-03-28 18:44:00,0.07,0.777,0.153,0.34
2019-03-28 20:24:12,0.0,1.0,0.0,0.0
2019-03-28 20:41:51,0.077,0.723,0.2,0.4404
2019-03-28 21:06:35,0.0,0.963,0.037,0.1531
2019-03-28 21:08:44,0.0,0.892,0.108,0.4767
2019-03-28 21:20:44,0.064,0.724,0.213,0.7003
2019-03-28 22:15:51,0.0,0.948,0.052,0.2732
2019-03-29 00:00:00,0.123,0.833,0.044,-0.5574
2019-03-29 00:34:00,0.0,0.806,0.194,0.7845
2019-03-29 02:25:00,0.238,0.697,0.066,-0.8126
2019-03-29 02:56:29,0.0,0.941,0.059,0.4404
2019-03-29 02:56:29,0.0,0.941,0.059,0.4404
2019-03-29 03:59:58,0.07,0.815,0.115,0.5106
2019-03-29 03:59:58,0.07,0.815,0.115,0.5106
2019-03-29 03:59:58,0.07,0.815,0.115,0.5106
2019-03-29 04:28:24,0.074,0.865,0.061,0.1027
2019-03-29 04:28:24,0.074,0.865,0.061,0.1027
2019-03-29 05:10:13,0.112,0.888,0.0,-0.5859
2019-03-29 07:12:54,0.054,0.946,0.0,-0.1531
2019-03-29 09:02:53,0.072,0.807,0.12,0.5106
2019-03-29 09:02:53,0.072,0.807,0.12,0.5106
2019-03-29 10:20:10,0.07,0.815,0.115,0.5106
2019-03-29 10:20:10,0.07,0.815,0.115,0.5106
2019-03-29 10:36:34,0.0,0.798,0.202,0.891
2019-03-29 11:00:00,0.106,0.831,0.063,-0.1779
2019-03-29 11:15:57,0.0,0.848,0.152,0.3612
2019-03-29 11:30:19,0.036,0.895,0.069,0.3595
2019-03-29 11:47:47,0.0,0.93,0.07,0.5267
2019-03-29 11:47:47,0.0,0.93,0.07,0.5267
2019-03-29 11:47:47,0.0,0.93,0.07,0.5267
2019-03-29 12:00:00,0.0,0.928,0.072,0.4926
2019-03-29 12:00:00,0.0,0.719,0.281,0.9201
2019-03-29 12:46:00,0.0,0.942,0.058,0.4019
2019-03-29 13:00:00,0.032,0.794,0.174,0.8176
2019-03-29 14:10:14,0.0,0.928,0.072,0.4019
2019-03-29 14:13:02,0.0,0.806,0.194,0.8126
2019-03-29 14:35:02,0.0,1.0,0.0,0.0
2019-03-29 14:36:02,0.0,1.0,0.0,0.0
2019-03-29 14:57:04,0.0,0.817,0.183,0.6705
2019-03-29 15:43:57,0.0,1.0,0.0,0.0
2019-03-29 18:36:00,0.0,0.845,0.155,0.6808
2019-03-29 19:00:00,0.0,1.0,0.0,0.0
2019-03-29 19:13:00,0.0,0.955,0.045,0.2144
2019-03-29 20:10:09,0.0,0.965,0.035,0.128
2019-03-29 20:11:30,0.0,0.929,0.071,0.25
2019-03-29 21:33:00,0.0,0.712,0.288,0.9371
2019-03-29 22:04:57,0.0,0.933,0.067,0.4767
2019-03-29 23:28:00,0.143,0.798,0.059,-0.6124
2019-03-30 00:25:00,0.0,1.0,0.0,0.0
2019-03-30 01:10:48,0.041,0.828,0.13,0.5423
2019-03-30 07:03:41,0.0,1.0,0.0,0.0
2019-03-30 07:07:45,0.081,0.722,0.196,0.7351
2019-03-30 07:23:00,0.042,0.859,0.099,0.3818
2019-03-30 13:00:00,0.0,0.936,0.064,0.4767
2019-03-30 13:09:24,0.0,0.896,0.104,0.6369
2019-03-30 13:10:19,0.039,0.764,0.196,0.765
2019-03-30 13:30:01,0.12,0.837,0.044,-0.5859
2019-03-30 14:48:12,0.0,0.848,0.152,0.7345
2019-03-30 16:02:00,0.0,0.942,0.058,0.3384
2019-03-30 17:03:54,0.1,0.774,0.126,0.319
2019-03-30 17:20:27,0.0,0.872,0.128,0.6808
2019-03-30 20:14:18,0.0,0.94,0.06,0.3612
2019-03-30 20:40:00,0.0,0.888,0.112,0.5859
2019-03-30 21:37:47,0.0,0.889,0.111,0.6705
2019-03-30 22:04:00,0.161,0.787,0.052,-0.7003
2019-03-30 23:00:29,0.0,0.885,0.115,0.6369
2019-03-31 08:45:00,0.036,0.814,0.15,0.7184
2019-03-31 09:57:26,0.0,0.934,0.066,0.4767
2019-03-31 12:49:00,0.0,1.0,0.0,0.0
2019-03-31 13:15:00,0.0,1.0,0.0,0.0
2019-03-31 13:17:00,0.0,0.817,0.183,0.8516
2019-03-31 15:12:51,0.051,0.857,0.092,0.5023
2019-03-31 17:03:57,0.149,0.806,0.045,-0.6486
2019-03-31 17:30:32,0.0,0.941,0.059,0.4019
2019-03-31 18:10:00,0.041,0.739,0.22,0.802
2019-03-31 18:10:00,0.041,0.739,0.22,0.802
2019-03-31 19:00:34,0.0,0.922,0.078,0.4019
2019-03-31 19:01:19,0.0,0.951,0.049,0.296
2019-03-31 19:13:33,0.044,0.956,0.0,-0.296
2019-03-31 21:30:00,0.155,0.767,0.078,-0.705
2019-03-31 23:09:14,0.0,0.902,0.098,0.4215
2019-04-01 00:00:00,0.055,0.868,0.077,0.2263
2019-04-01 00:00:00,0.089,0.911,0.0,-0.5267
2019-04-01 03:31:00,0.0,1.0,0.0,0.0
2019-04-01 04:36:32,0.0,0.837,0.163,0.7783
2019-04-01 06:00:41,0.049,0.897,0.054,0.0516
2019-04-01 07:31:58,0.128,0.812,0.06,-0.4939
2019-04-01 07:45:00,0.0,0.789,0.211,0.8466
2019-04-01 09:57:10,0.0,1.0,0.0,0.0
2019-04-01 10:00:00,0.0,1.0,0.0,0.0
2019-04-01 11:05:00,0.0,0.873,0.127,0.5859
2019-04-01 11:06:04,0.0,0.862,0.138,0.7345
2019-04-01 11:46:27,0.13,0.87,0.0,-0.6597
2019-04-01 11:47:35,0.064,0.871,0.066,0.0258
2019-04-01 11:50:55,0.127,0.873,0.0,-0.6597
2019-04-01 12:08:49,0.0,0.931,0.069,0.3818
2019-04-01 12:10:55,0.0,0.938,0.062,0.3919
2019-04-01 12:12:15,0.114,0.886,0.0,-0.5994
2019-04-01 12:17:46,0.13,0.87,0.0,-0.6597
2019-04-01 12:20:51,0.109,0.781,0.109,0.0
2019-04-01 12:30:00,0.0,0.88,0.12,0.6369
2019-04-01 13:00:01,0.0,0.899,0.101,0.5709
2019-04-01 13:30:01,0.035,0.89,0.075,0.1779
2019-04-01 13:35:44,0.136,0.826,0.037,-0.7003
2019-04-01 13:40:01,0.022,0.731,0.248,0.9131
2019-04-01 13:55:01,0.149,0.81,0.041,-0.6249
2019-04-01 14:10:00,0.05,0.882,0.067,0.2023
2019-04-01 14:12:56,0.0,0.854,0.146,0.7345
